in_a_case_id,in_bool_context,in_bool_shade,in_context_seed,in_room_height,in_room_north,in_room_width,in_shade_hor_depth,in_shade_vert_both_sides,in_shade_vert_depth,in_window_g,in_window_height,in_window_hor_separ,in_window_sill_height,in_window_wwr,ext_wall_area(m2),ext_win_area(m2),volume(m3),org_floor_area(m2),adj_floor_area(m2),w_width(m),w_height(m),w_aspect_ratio,w_count,shade_v_count,shade_h_count,shade_L,shade_R,shade_T,cooling_load(W/m2),peak_date,altitude(deg),azimuth(deg),w_rad_total(kWh),w_rad_april(kWh),w_rad_may(kWh),w_rad_jun(kWh),w_rad_jul(kWh),w_rad_aug(kWh),w_rad_sep(kWh),f_rad_total(kWh),f_rad_april(kWh),f_rad_may(kWh),f_rad_jun(kWh),f_rad_jul(kWh),f_rad_aug(kWh),f_rad_sep(kWh),solar_load(W/m2),solar_load_adj(W/m2)
1,0,1,86,3.747256801,108.1091273,15.9922968,0.967072663,1,0.978035319,0.442931854,2.178113898,3.955231105,1.473679658,0.441921762,59.927243,26.483153,269.672593,71.965336,51.715336,3.039689,2.178114,1.39556,4,8,4,1.0,1.0,1,45.84673,14 Aug 08:00,28.878238,103.935512,8580.746342,1441.942741,1581.082837,1505.163151,1549.039887,1423.914806,1081.557212,32267.197971,5297.433121,5951.654335,5757.125428,5926.796865,5321.578484,4019.078852,58.580749,81.519016
2,0,0,56,3.838259052,259.7849062,7.250490915,0.218708653,0,0.45795842,0.41152491,2.694798137,1.31126118,0.465652842,0.444729402,27.829262,12.376491,125.231681,32.627209,22.533521,0.765456,2.694798,0.284049,6,0,0,0.0,0.0,0,69.016625,16 Aug 16:00,29.790717,253.372141,7042.099047,1119.096264,1355.937461,1248.86915,1229.478231,1161.199651,927.285179,15834.568736,2516.352931,3048.904149,2808.15485,2764.553233,2611.024855,2085.054553,94.859993,137.351674
3,0,0,71,4.23132011,0.082770396,11.21016777,0.885910443,0,0.735569856,0.372460317,2.528589213,1.796147866,1.355489464,0.734709025,47.433808,34.850047,213.452137,50.445755,30.195755,10.985964,3.172234,3.463164,1,0,0,0.0,0.0,0,55.615145,31 Jul 12:00,56.618921,177.014986,8579.185044,1205.973244,1651.964393,1831.571853,1714.943489,1298.437982,875.339022,11676.982713,1641.429653,2248.460612,2492.921268,2334.180386,1767.281834,1191.409042,25.195984,42.093017
4,1,0,54,4.685166987,54.70629175,11.88416305,0.364642354,0,0.521789759,0.471065977,3.441385533,1.882340681,0.342262952,0.831018233,55.679288,46.270504,250.556798,53.478734,33.228734,11.64648,3.972918,2.931468,1,0,0,0.0,0.0,0,172.388426,29 Jun 08:00,35.876625,97.331153,13930.484778,2052.44832,2736.701483,2836.626162,2780.366082,2185.751559,1339.541976,16802.104891,2474.02331,3300.278239,3425.317922,3354.767292,2634.790166,1614.03354,125.713769,202.32529
5,0,0,97,4.648061438,13.16916228,19.39115529,0.466373197,1,0.014895941,0.335163295,2.163961771,2.306113101,0.161784797,0.734172328,90.131281,66.171893,405.590765,87.260199,67.010199,19.003332,3.48212,5.457402,1,0,0,0.0,0.0,0,37.371263,31 Jul 11:00,54.132984,152.179815,16585.277872,2334.206148,3207.385279,3529.63155,3333.39612,2505.69094,1672.390832,22590.441419,3179.370742,4368.708789,4807.633338,4540.345381,3412.946396,2277.926692,22.555345,29.371407
6,1,1,8,4.167566773,57.44165513,8.438895442,0.778663332,0,0.560268904,0.278269023,2.070640762,2.644038975,0.202185812,0.492520046,35.16966,17.321763,158.263471,37.975029,21.798029,8.270118,2.0945,3.948492,1,1,1,0.0,1.0,1,19.985543,29 Jun 08:00,35.876625,97.331153,3175.454712,478.371725,624.825459,625.441121,623.123056,505.739654,317.803487,9135.591979,1356.94458,1797.95173,1831.052422,1827.862948,1445.68458,876.662631,15.164174,26.417984
7,0,0,71,4.277608368,4.673861195,13.94175833,0.140791687,1,0.277559914,0.279728787,3.207218872,1.225571405,0.566023995,0.765968635,59.637382,45.680364,268.368219,62.737912,42.487912,1.120182,3.707219,0.302162,11,0,0,0.0,0.0,0,32.166606,31 Jul 11:00,54.132984,152.179815,11219.231083,1571.805328,2160.546424,2403.789534,2252.202761,1686.838935,1142.3883,14647.116092,2052.049285,2820.672295,3138.235062,2940.332991,2202.229863,1491.429665,17.000371,25.102852
8,1,0,2,4.246939876,138.4515014,13.83216626,0.248102579,0,0.81247487,0.481705811,3.210937822,2.520562148,0.522719025,0.643829151,58.744378,37.821343,264.349703,62.244748,41.994748,2.154487,3.510938,0.61365,5,0,0,0.0,0.0,0,82.793556,02 Apr 10:00,36.93858,140.070398,15734.019657,2739.665635,2731.770493,2482.658338,2674.074408,2654.461077,2455.288213,24392.025386,4253.764564,4231.540002,3845.192447,4141.177031,4115.334651,3811.053001,163.113891,241.767923
9,1,1,58,3.697553844,212.6822328,14.39936931,0.69103484,1,0.092652725,0.392269871,3.433068091,1.801444845,1.10057879,0.817844638,53.242443,43.544047,239.590995,64.797162,44.547162,1.502098,3.623603,0.414532,8,16,8,1.0,1.0,1,70.787358,05 Sep 13:00,43.397015,201.014668,13552.943428,2381.042979,2544.801521,2105.301185,2210.058541,2352.185251,1958.09374,20469.603927,3537.323034,3873.663205,3248.455641,3407.966596,3527.945224,2872.467032,98.443627,143.193581
10,0,1,49,5.107241529,356.622748,10.52119086,0.486313564,0,0.91502105,0.493292975,3.46351568,3.723421283,0.870373738,0.56663149,53.734263,30.447525,241.804183,47.345359,27.095359,2.93031,3.463516,0.846051,3,3,3,1.0,0.0,1,42.247296,31 Jul 12:00,56.618921,177.014986,5632.215899,825.423133,1062.170196,1159.016386,1105.210226,864.02871,615.8447,13445.498766,1878.294399,2597.152205,2883.043521,2693.644262,2033.470782,1358.281227,28.30956,49.467006
11,1,1,48,3.233043977,154.6065959,12.27941435,0.436150025,0,0.548474212,0.487952709,2.081003528,1.313822803,0.944194056,0.41245113,39.699887,16.374263,178.64949,55.257365,35.007365,0.874272,2.081004,0.42012,9,9,9,0.0,1.0,1,25.387519,05 Sep 10:00,38.871389,140.668716,4004.285518,724.277666,715.768375,630.788359,693.927775,714.220757,526.990616,14330.500039,2542.074891,2618.481225,2303.937661,2502.861907,2532.878239,1834.151402,57.031966,90.022091
12,1,0,0,3.782451159,113.0635558,13.44357485,0.95215607,0,0.55620895,0.343307569,3.219139049,2.501234239,0.008320681,0.833444486,50.849665,42.380373,228.823494,60.496087,40.246087,2.286627,3.706802,0.616873,5,0,0,0.0,0.0,0,122.80065,29 Jun 08:00,35.876625,97.331153,18812.067213,3021.882277,3579.61014,3468.044885,3575.960759,3138.138281,2032.293833,22588.70758,3631.149046,4297.267094,4162.030277,4292.045829,3769.742758,2441.104282,107.955073,162.273154
13,0,0,10,5.194701503,91.75801759,7.131842775,0.214010546,0,0.658100926,0.471446237,2.8437418,2.756085208,1.435095946,0.416785386,37.047794,15.440979,166.715075,32.093292,22.527014,1.809937,2.843742,0.636463,3,0,0,0.0,0.0,0,147.29826,29 Jun 08:00,35.876625,97.331153,7640.065919,1212.257311,1439.002533,1427.751043,1444.979417,1239.870758,877.680024,18330.936695,2908.589042,3452.622611,3425.626727,3466.963048,2974.842443,2105.832216,123.855269,176.451408
14,1,1,95,4.092661383,167.3844395,12.82054618,0.420610848,0,0.412993033,0.434987199,3.023300773,1.588329634,0.060889533,0.323642459,52.470154,16.98157,236.115694,57.692458,37.442458,0.702112,3.023301,0.232234,8,8,8,0.0,1.0,1,24.847722,05 Sep 11:00,43.517853,159.53255,5007.52662,850.385174,895.985566,791.455721,862.057764,852.788641,754.879078,22791.899195,3950.927709,4070.489402,3533.86806,3834.216881,3891.712926,3510.946616,46.78563,72.088696
15,0,1,77,5.308753139,109.4811504,6.86074981,0.392123211,1,0.238803419,0.257047353,3.855798934,2.346187345,1.163816753,0.391792959,36.422027,14.269894,163.899122,30.873374,22.473211,1.233631,3.855799,0.319942,3,6,3,1.0,1.0,1,27.219181,14 Aug 08:00,28.878238,103.935512,6751.607597,1119.122948,1243.929275,1194.14111,1233.473991,1118.833087,843.635027,19713.718026,3246.135259,3628.597945,3502.535399,3610.801647,3255.058967,2474.53851,43.814465,60.191684
16,1,0,41,5.344565935,225.4879273,14.48374776,0.972761716,0,0.192579554,0.360331427,3.442805593,2.907656275,0.024342223,0.44463722,77.409345,34.419076,348.342052,65.176865,44.926865,1.999478,3.442806,0.58077,5,0,0,0.0,0.0,0,39.595138,16 Aug 14:00,45.547681,221.976491,10153.920546,1641.058077,2029.336802,1764.459626,1815.073893,1714.024397,1188.62309,24909.510884,4119.820779,4875.422946,4210.721227,4332.913391,4212.305288,3154.697019,78.248184,113.517187
17,0,0,99,4.943836858,204.3654242,19.39073093,0.880173831,0,0.607058647,0.427751142,2.057826201,1.328686346,0.043642141,0.431976335,95.86461,41.411243,431.390746,87.258289,67.008289,19.002916,2.179205,8.720116,1,0,0,0.0,0.0,0,114.892306,02 Apr 13:00,42.195942,198.973648,24808.484059,4463.728661,4385.21446,3662.3454,3907.834131,4264.488964,4125.050461,57430.190982,10333.270975,10151.515286,8478.115654,9046.407696,9872.042757,9549.250714,119.707953,155.883866
18,0,1,96,3.418309929,192.2282034,5.668240567,0.749190534,1,0.762262567,0.374001308,3.593983184,3.817137887,1.339271273,0.774217869,19.375803,15.001093,87.191114,25.507083,21.769994,4.478013,3.349944,1.336743,1,2,1,1.0,1.0,1,76.159002,02 Apr 12:00,43.612426,178.619628,6152.239176,1161.177671,1026.89754,845.276482,919.229436,1062.943559,1136.565239,11441.649361,2097.663542,1980.154676,1651.384769,1785.139437,1973.134286,1954.553839,92.4125,108.276249
19,1,0,76,3.738223622,201.6019954,12.29180111,0.299903297,1,0.278287112,0.461865885,3.231679447,3.114103288,1.135560358,0.549890983,45.949501,25.267216,206.772756,55.313105,35.063105,1.954651,3.231679,0.60484,4,0,0,0.0,0.0,0,57.863889,16 Aug 13:00,50.474712,201.377688,9144.670198,1500.266484,1827.46668,1525.052025,1623.548879,1600.094837,1068.591886,16351.544532,2654.888907,3287.204107,2750.704848,2925.476429,2851.995866,1881.84326,102.476857,161.660332
20,0,1,23,4.959639077,141.8535261,7.658001231,0.374845833,0,0.923339295,0.457591871,3.195964893,1.938517228,0.583095452,0.775846962,37.980922,29.467383,170.91415,34.461006,22.462858,7.504841,3.92645,1.911355,1,1,1,0.0,1.0,1,154.429137,02 Apr 09:00,30.005415,124.170586,15389.514225,2712.254755,2711.88763,2456.443197,2623.702245,2613.282579,2274.80165,22117.927124,3888.298244,3902.357811,3535.068905,3772.319766,3751.383266,3272.201057,211.907887,325.09482
21,0,0,51,5.079349504,240.9575706,17.21563225,0.934821962,1,0.970644892,0.395890142,2.39082569,1.111862701,0.53315908,0.554190167,87.444213,48.460723,393.498959,77.470345,57.220345,16.87132,2.872373,5.873652,1,0,0,0.0,0.0,0,120.00172,02 Apr 15:00,31.108043,233.891868,28999.432686,4806.450809,5453.714678,4844.707613,4879.925024,4852.237209,4161.297971,52327.58416,8672.92686,9840.872312,8741.958816,8805.506323,8755.545443,7508.790644,149.221976,202.030902
22,0,1,16,3.211339263,48.81228941,6.00002375,0.912719994,0,0.080754666,0.273453256,2.072913743,3.831386333,0.951021521,0.775424131,19.268112,14.940959,86.706503,27.000107,22.024046,2.903509,2.572914,1.128491,2,2,2,0.0,1.0,1,49.29862,29 Jun 08:00,35.876625,97.331153,4199.408622,616.013274,820.954552,854.96842,829.299542,655.249087,422.868863,6650.044761,965.143606,1302.121917,1372.912224,1331.589895,1032.596353,645.92909,16.661764,20.426284
23,0,1,46,4.549128068,280.8012904,13.04570195,0.485352186,0,0.439299253,0.334605397,2.645391864,2.844514233,0.583646574,0.687036659,59.346569,40.773268,267.05956,58.705659,38.455659,12.784788,3.189202,4.008774,1,1,1,1.0,0.0,1,65.022375,06 Jun 17:00,26.720799,273.573044,18719.544569,2828.809348,3670.014591,3548.298439,3407.612013,3038.183927,2225.942494,30213.859194,4579.75938,5936.579628,5702.141998,5499.292126,4903.284831,3591.698462,117.54439,179.440973
24,1,0,21,5.050073224,12.25970061,9.002821242,0.40715844,0,0.281114578,0.373786477,2.041666493,1.881958938,0.060144475,0.892898612,45.464906,40.595552,204.592079,40.512696,20.262696,8.822765,4.601228,1.91748,1,0,0,0.0,0.0,0,34.526136,31 Jul 12:00,56.618921,177.014986,6223.993128,897.167958,1194.953292,1297.798386,1238.254342,944.597483,649.993525,7021.201957,1009.978732,1349.193817,1467.201303,1398.413665,1064.599062,730.412331,23.543765,47.072779
25,0,1,12,3.552292034,333.784405,13.05862231,0.656543465,0,0.577699885,0.379217148,3.695903899,3.300857604,0.365511505,0.836997104,46.38804,38.826655,208.74618,58.7638,38.5138,2.788273,3.481246,0.800941,4,4,4,1.0,0.0,1,38.137766,28 Jun 17:00,27.819126,273.091576,9097.96988,1262.081331,1781.332273,1944.701765,1814.035398,1396.814111,897.700212,14118.505476,1955.879957,2794.616687,2998.21824,2806.466774,2180.445981,1381.137395,50.381247,76.870979
26,1,1,41,3.423226442,137.8684234,7.151663615,0.547823874,0,0.087388426,0.468012017,2.284667472,1.625988439,1.390399445,0.662350896,24.481764,16.215518,110.167938,32.182486,22.528866,1.568434,2.584667,0.606822,4,4,4,0.0,1.0,1,65.908161,28 Aug 09:00,34.146199,121.939349,4562.629891,796.143787,825.778159,749.388323,810.33984,793.375608,589.125348,8392.570659,1424.181062,1546.464743,1416.052901,1523.943948,1444.994468,1039.520164,94.454399,134.928112
27,1,1,53,4.880477798,327.4286592,17.46831209,0.438256898,0,0.352814023,0.494156981,3.178143088,1.768629752,0.380134061,0.425965718,85.253709,36.315158,383.641692,78.607404,58.357404,1.142653,3.178143,0.359535,10,10,10,1.0,0.0,1,22.255493,28 Jun 17:00,27.819126,273.091576,5664.533315,781.6158,1121.378952,1209.829238,1148.189518,854.83608,547.847763,17312.173568,2325.678924,3485.603766,3766.68235,3546.160483,2600.605489,1585.367699,46.693937,62.896718
28,1,0,98,4.032255738,306.1011282,10.64346782,0.133354836,0,0.930341333,0.479195434,2.887326965,1.288043605,1.280627934,0.393613761,42.917184,16.892794,193.127329,47.895605,27.645605,0.731334,2.887327,0.253291,8,0,0,0.0,0.0,0,35.486995,28 Jun 17:00,27.819126,273.091576,3447.582722,452.024432,708.621839,761.307974,717.313548,504.635132,303.123353,8413.064134,1120.356034,1722.591665,1835.183401,1737.840261,1240.560177,755.012097,54.73422,94.826233
29,1,0,24,3.934753153,106.4975845,5.921915023,0.177930333,0,0.063859958,0.462682236,2.267162587,3.143861353,1.24434135,0.548318318,23.301274,12.776515,104.855732,26.648618,21.967378,2.817732,2.267163,1.242845,2,0,0,0.0,0.0,0,91.160619,30 Jul 10:00,48.553054,131.069701,2854.861629,417.129605,549.365045,575.859679,564.338648,447.538433,300.388448,5212.15084,765.612359,1004.586167,1043.155052,1027.142677,822.540919,548.654256,67.549948,81.944817
30,0,1,12,3.740226092,117.4125549,14.48923076,0.357552103,1,0.291499247,0.374871986,3.359732531,2.558720201,1.201857197,0.736209985,54.192999,39.897427,243.868495,65.201538,44.951538,1.814135,3.665422,0.494932,6,12,6,1.0,1.0,1,67.762483,02 Apr 08:00,21.709185,110.342792,19456.655545,3283.863476,3535.06727,3351.927447,3489.919807,3247.822895,2552.577583,30141.897569,5042.994044,5496.416285,5225.743818,5433.263694,5013.874388,3935.612262,105.624791,153.207189
31,0,1,5,4.550983141,111.307684,4.722500452,0.56422098,0,0.403383959,0.344514777,3.391537894,3.622140444,0.31629757,0.63154002,21.49202,13.573071,96.71409,21.251252,20.914475,3.676807,3.691538,0.996009,1,1,1,0.0,1.0,1,49.572789,02 Apr 08:00,21.709185,110.342792,6455.390891,1068.637587,1187.964626,1142.755383,1176.968057,1067.699921,812.742613,11714.735218,1936.349499,2151.286756,2069.595786,2137.715735,1937.596567,1484.536851,93.682292,95.190818
32,1,1,59,4.709495349,22.9824514,11.70748501,0.089895652,1,0.45236017,0.38742725,3.539681518,2.768915173,0.269403816,0.502131894,55.136346,27.685718,248.113558,52.683683,32.433683,1.955382,3.539682,0.552417,4,8,4,1.0,1.0,1,28.33807,31 Jul 11:00,54.132984,152.179815,4375.984913,606.681023,860.492474,940.735145,887.81742,657.869055,421.884128,11562.298891,1597.30189,2277.389002,2507.872767,2361.645703,1737.158384,1079.119546,12.593138,20.455675
33,0,1,97,3.119797534,25.80516067,8.777817711,0.111543505,1,0.554795347,0.486004258,2.878450707,3.592453781,0.915348308,0.365201259,27.385014,10.001042,123.232563,39.50018,21.212796,1.737226,2.878451,0.603528,2,4,2,1.0,1.0,1,40.099497,31 Jul 11:00,54.132984,152.179815,1999.997925,282.607509,389.664727,420.138996,401.459595,304.222767,201.807378,7489.145097,1058.156766,1466.242154,1579.634947,1510.81497,1142.625219,730.978006,10.917155,20.328748
34,0,0,19,3.693257904,169.0577048,16.38724653,0.041588858,1,0.710762269,0.496847232,2.002208666,3.664614309,0.708176814,0.676876607,60.522328,40.966148,272.350475,73.742609,53.492609,16.059502,2.550898,6.295627,1,0,0,0.0,0.0,0,162.571303,02 Apr 11:00,41.733145,158.410916,23923.258705,4393.49592,4098.54127,3508.144812,3821.755809,4121.72617,3982.377494,35343.60347,6490.837207,6055.078833,5182.842375,5646.163148,6089.331606,5883.461491,167.11875,230.382718
35,1,0,81,4.089795365,242.4100246,9.601690914,0.267333664,0,0.094625418,0.389094973,2.403747782,2.799597614,0.831670359,0.316667465,39.268951,12.435199,176.710279,43.207609,22.957609,1.724418,2.403748,0.717387,3,0,0,0.0,0.0,0,76.834042,29 Jun 13:00,59.713754,206.126909,1864.18856,300.878058,355.64689,321.564983,332.236596,302.856466,250.627308,5959.598939,965.48078,1138.288656,1026.721816,1061.418714,973.432512,793.081586,27.681792,52.098808
36,1,1,89,5.455320398,161.6750218,16.70492667,0.716884778,0,0.58452175,0.315917493,3.589099838,1.467948684,0.079573416,0.574253385,91.130727,52.332129,410.088272,75.17217,54.92217,1.325532,3.5891,0.369322,11,11,11,0.0,1.0,1,38.107226,29 Jun 10:00,53.017572,128.104971,4140.240864,511.606268,848.941141,917.484263,903.112832,595.264058,363.934455,12632.808692,1442.036474,2730.695639,2880.578833,2874.747553,1825.849598,879.914309,25.554871,34.977043
37,0,1,82,4.107307733,42.9443505,12.1742363,0.90236432,1,0.201540848,0.447341757,3.657152678,3.431973595,1.010882904,0.520462991,50.003335,26.024885,225.015007,54.784063,34.534063,1.77904,3.657153,0.486455,4,8,4,1.0,1.0,1,65.223881,29 Jun 08:00,35.876625,97.331153,7052.821052,1013.659351,1385.480236,1464.684817,1411.262041,1089.476079,688.175929,16221.31376,2327.087278,3187.504897,3380.47123,3266.574101,2504.471174,1555.287856,30.874225,48.978178
38,0,0,92,4.826044069,80.68381101,17.65742117,0.580883693,0,0.2744591,0.34631918,3.415713145,3.91340047,0.716489813,0.72122455,85.215493,61.459505,383.469717,79.458395,59.208395,3.139122,3.915713,0.801673,5,0,0,0.0,0.0,0,135.032943,29 Jun 08:00,35.876625,97.331153,28363.691302,4392.309548,5412.627461,5460.90026,5463.161549,4548.808167,3090.501236,39327.127966,6090.071915,7504.773988,7571.705701,7574.84105,6307.062048,4285.074764,110.802321,148.698078
39,1,0,6,4.317560024,239.385712,18.17474849,0.080318905,0,0.230545714,0.282203811,3.085897367,1.842579171,0.78431689,0.850269568,78.470568,66.721136,353.117554,81.786368,61.536368,17.811254,3.74601,4.754727,1,0,0,0.0,0.0,0,88.01051,05 Sep 14:00,38.651719,219.787857,22548.906078,3737.426391,4392.309749,3850.876972,3915.684135,3762.341333,2886.005981,26338.296148,4356.095591,5139.365284,4508.213268,4583.993117,4393.06113,3352.681325,104.364963,138.708726
40,0,1,36,5.000393567,53.10152011,16.95669691,0.143445101,1,0.920906917,0.288571795,2.976922433,2.668975241,0.50697459,0.335085283,84.790158,28.411934,381.555712,76.305136,56.055136,1.590677,2.976922,0.534336,6,12,6,1.0,1.0,1,12.911259,29 Jun 08:00,35.876625,97.331153,6112.502433,834.961546,1219.40181,1330.482456,1259.616563,920.905325,546.678581,30587.519361,4473.831885,5977.629872,6267.238297,6102.169953,4769.399761,2998.948326,10.977397,14.942997
41,1,1,69,5.134870518,288.9864715,18.27660054,0.063972094,0,0.553440115,0.295217222,2.65512423,1.532889487,0.524632898,0.890709068,93.847977,83.591244,422.315898,82.244702,61.994702,17.911069,4.667016,3.837799,1,1,1,1.0,0.0,1,145.412671,29 Jun 15:00,46.061708,246.876803,21830.594182,2879.137423,4541.859246,4755.788497,4430.376599,3293.579402,1926.869281,24767.596267,3290.734706,5149.601727,5361.318257,5007.266145,3753.889882,2201.449136,80.286635,106.511527
42,1,1,50,3.288742711,57.75451859,17.47156765,0.105096083,0,0.887041772,0.309011381,3.827026088,1.823514061,0.05966461,0.767443408,57.459491,44.096907,258.567708,78.622054,58.372054,1.368208,3.222968,0.424518,10,10,10,0.0,1.0,1,20.982766,30 Jul 08:00,31.828814,100.491912,5209.417151,743.5149,1007.739295,1094.906832,1057.858461,788.878972,517.259402,11825.558435,1803.794397,2235.60452,2328.072748,2318.353296,1858.521953,1285.310872,13.19823,17.776862
43,1,1,65,5.448655904,324.5829776,5.419301038,0.737163105,1,0.136088523,0.268985264,3.861942709,2.095465024,1.136675662,0.353120724,29.527907,10.426916,132.87558,24.386855,21.559605,0.899972,3.861943,0.233036,3,6,3,1.0,1.0,1,7.221989,28 Jun 17:00,27.819126,273.091576,1498.854793,210.489169,294.782313,317.577296,303.330466,224.293821,148.033378,4896.364704,681.143117,971.703668,1044.365502,996.299473,729.963561,471.773586,8.81721,9.973467
44,0,1,63,5.463632184,0.722441208,14.41709321,0.950700302,0,0.389141055,0.378293266,3.061203306,3.398854193,0.022169254,0.812227532,78.769694,63.978915,354.463625,64.876919,44.626919,14.128751,4.528278,3.120116,1,1,1,1.0,0.0,1,45.419192,31 Jul 12:00,56.618921,177.014986,13867.572385,1968.942927,2654.630776,2932.249221,2752.501811,2106.114244,1451.512243,19392.265167,2724.694923,3734.13117,4142.125239,3878.724157,2932.285492,1978.04657,30.858155,44.860413
45,0,1,95,5.075752908,338.7473742,18.64075499,0.033938304,0,0.173546993,0.478147338,3.783528837,3.603318391,0.413774353,0.504835806,94.615866,47.765477,425.771399,83.883397,63.633397,2.524917,3.783529,0.667344,5,5,5,1.0,0.0,1,33.044846,28 Jun 17:00,27.819126,273.091576,13419.140519,1858.578709,2638.650621,2867.501423,2681.73474,2059.545816,1311.294882,27353.028031,3790.83279,5389.165286,5829.526891,5456.468756,4207.854675,2675.634179,74.166655,97.768644
46,1,0,6,4.470959444,264.5236342,16.25882188,0.911312081,1,0.040138715,0.479311391,3.574061395,3.874805159,0.012026376,0.701120929,72.692533,50.966256,327.1164,73.164698,52.914698,3.127485,4.074061,0.767658,4,0,0,0.0,0.0,0,175.499753,29 Jun 15:00,46.061708,246.876803,13682.11255,2163.186756,2708.542475,2482.25874,2483.609439,2199.596307,1643.185613,19786.47198,3120.278237,3924.991376,3598.116738,3595.099427,3182.190449,2362.952544,187.948412,259.874652
47,0,0,94,4.451380381,139.1765603,17.70311835,0.24144523,0,0.657912013,0.479913388,2.827497711,2.075208575,0.757204107,0.886018612,78.803314,69.821203,354.614912,79.664033,59.414033,17.349056,4.024496,4.310864,1,0,0,0.0,0.0,0,193.977577,02 Apr 09:00,30.005415,124.170586,40521.293032,7085.647789,7175.804662,6538.466461,6956.784777,6857.994367,5913.557888,45734.129564,7997.176556,8098.931578,7379.603386,7851.736008,7740.236792,6674.303895,247.663843,332.074757
48,0,1,35,3.817006447,309.3705463,10.46424421,0.859511777,0,0.470712117,0.448589435,3.462699258,2.096760909,0.821918775,0.511925569,39.942088,20.447376,179.739394,47.089099,26.839099,1.181008,3.462699,0.341066,5,5,5,1.0,0.0,1,27.197182,06 Jun 17:00,26.720799,273.573044,5747.431156,797.606791,1143.521531,1211.58458,1127.228935,898.228745,568.695466,15907.713926,2271.402588,3170.738195,3235.883676,3052.580559,2515.255926,1660.701377,75.297925,132.109928
49,0,1,83,4.838902896,151.3989195,18.03911834,0.743803476,0,0.099773928,0.340852025,3.23150733,3.986744189,1.338162114,0.553798984,87.289542,48.34086,392.802939,81.176033,60.926033,2.991846,3.231507,0.925836,5,5,5,0.0,1.0,1,31.296057,02 Apr 11:00,41.733145,158.410916,23469.106285,4284.733262,4019.328836,3526.982076,3821.093179,4029.526019,3791.142935,50812.320107,9098.887945,8850.997623,7849.01307,8463.272752,8682.178486,7875.645186,73.916479,98.484117
50,0,0,81,3.376807367,96.87308279,16.22864355,0.140145237,1,0.969924261,0.362758649,2.671925832,3.948465073,0.5736754,0.711368798,54.801003,38.983724,246.604514,73.028896,52.778896,3.07256,3.171926,0.968673,4,0,0,0.0,0.0,0,110.238173,29 Jun 08:00,35.876625,97.331153,19937.668136,3198.608969,3731.173966,3672.053406,3736.776045,3253.180586,2349.792693,28027.18969,4496.414485,5245.06277,5161.954621,5252.937847,4573.128036,3303.19896,92.359608,127.795781
51,0,1,47,4.547442395,220.1847926,8.368393624,0.878120845,1,0.222607479,0.375704399,2.641551618,2.237610171,0.232538863,0.860101679,38.054788,32.730987,171.246546,37.657771,21.893781,8.201026,3.991085,2.054836,1,2,1,1.0,1.0,1,132.599454,02 Apr 14:00,37.777151,217.645838,16365.121493,2890.320131,2938.902511,2484.875622,2586.676892,2795.72415,2668.425901,23097.674131,4017.21161,4202.041136,3590.117265,3733.236653,3929.257992,3625.464297,160.240157,275.616489
52,1,1,71,3.55451726,218.3723005,7.582114254,0.053217093,1,0.06297949,0.320642978,3.779981138,3.757796424,1.475348884,0.874918208,26.950756,23.579707,121.278402,34.119514,22.487961,3.384556,3.483427,0.971617,2,4,2,1.0,1.0,1,61.856243,02 Apr 13:00,42.195942,198.973648,8284.83841,1425.421032,1535.574298,1323.32834,1379.365271,1385.869015,1234.460419,9468.159074,1629.477806,1755.186682,1512.125096,1576.267804,1584.561642,1409.599352,103.565507,157.133175
53,1,1,65,4.233699245,196.1453493,19.21077461,0.445821189,0,0.173766097,0.397443305,2.319022003,3.646999551,0.24612521,0.372172792,81.332642,30.269796,365.996889,86.448486,66.198486,2.610566,2.319022,1.125718,5,5,5,0.0,1.0,1,25.517201,02 Apr 12:00,43.612426,178.619628,12295.266352,2263.731147,2135.690288,1767.283187,1909.483891,2124.934354,2093.415441,39427.006871,7122.728452,6965.048749,5840.436124,6281.509357,6775.657751,6439.57427,62.351187,81.424305
54,0,1,72,4.137433298,314.3844524,18.81773759,0.462579925,0,0.330861027,0.497007283,3.240593113,1.153839878,1.125522273,0.500350741,77.857134,38.955875,350.357103,84.679819,64.429819,0.751326,3.240593,0.231848,16,16,16,1.0,0.0,1,135.986566,29 Jun 17:00,27.809777,273.011163,10493.471153,1441.614594,2081.575226,2246.888409,2083.196212,1623.60985,1015.272041,29377.547419,4147.047046,5866.394463,6054.962256,5695.844113,4616.384629,2994.372271,79.856779,104.955403
55,0,1,46,4.867727202,300.0928487,5.048251669,0.733885686,0,0.341591461,0.284121193,2.260853528,2.995398016,1.034449762,0.843491482,24.573512,20.727548,110.580804,22.717133,21.223516,4.947287,4.18968,1.180827,1,1,1,1.0,0.0,1,57.842314,06 Jun 17:00,26.720799,273.573044,7910.678636,1141.333407,1570.844702,1587.636704,1498.268247,1260.241052,851.879,10701.449867,1552.255098,2131.091714,2130.690325,2022.778939,1707.634164,1156.391887,110.586434,118.369018
