in_a_case_id,in_bool_context,in_bool_shade,in_context_seed,in_room_height,in_room_north,in_room_width,in_shade_hor_depth,in_shade_vert_both_sides,in_shade_vert_depth,in_window_g,in_window_height,in_window_hor_separ,in_window_sill_height,in_window_wwr,ext_wall_area(m2),ext_win_area(m2),volume(m3),org_floor_area(m2),adj_floor_area(m2),w_width(m),w_height(m),w_aspect_ratio,w_count,shade_v_count,shade_h_count,shade_L,shade_R,shade_T,cooling_load(W/m2),peak_date,altitude(deg),azimuth(deg),w_rad_total(kWh),w_rad_april(kWh),w_rad_may(kWh),w_rad_jun(kWh),w_rad_jul(kWh),w_rad_aug(kWh),w_rad_sep(kWh),f_rad_total(kWh),f_rad_april(kWh),f_rad_may(kWh),f_rad_jun(kWh),f_rad_jul(kWh),f_rad_aug(kWh),f_rad_sep(kWh),solar_load(W/m2),solar_load_adj(W/m2)
4007,0,1,39,3.039092058,276.6290428,13.55240339,0.857356265,1,0.484430233,0.348386844,2.353330397,1.716555649,0.236517916,0.676810641,41.187002,27.875801,185.341507,60.985815,40.735815,1.313246,2.65333,0.494942,8,16,8,1.0,1.0,1,45.027434,06 Jun 17:00,26.720799,273.573044,9748.249912,1452.942732,1932.41844,1862.983213,1780.344962,1587.59343,1131.909125,21549.695818,3298.671153,4218.373364,4016.490362,3888.513507,3508.786982,2618.150056,72.876065,109.103162
4008,0,1,34,3.814010401,188.4918523,6.064831865,0.468574822,1,0.791452611,0.334089408,2.24775164,2.051634016,0.632812103,0.754881236,23.131332,17.461408,104.090993,27.291743,22.069429,5.943535,2.937883,2.023068,1,2,1,1.0,1.0,1,74.320838,02 Apr 12:00,43.612426,178.619628,7984.3261,1496.613098,1344.339226,1110.876184,1210.187048,1380.165101,1442.123793,13610.826178,2503.003391,2344.37558,1960.895194,2124.636015,2346.521233,2332.032718,90.404755,111.797336
4009,1,0,39,4.370585141,246.8219301,7.064169585,0.801899734,0,0.737789142,0.435135554,3.74831027,3.964533741,0.993752616,0.725722988,30.874555,22.406374,138.935496,31.788763,22.518463,2.637092,4.24831,0.620739,2,0,0,0.0,0.0,0,149.738808,02 Apr 15:00,31.108043,233.891868,13259.595697,2169.935382,2512.373876,2257.873766,2255.990352,2207.296456,1855.589987,18270.876495,2990.032473,3461.890815,3111.205885,3108.610678,3041.513633,2556.884603,193.363834,272.966991
4010,1,0,41,3.47512782,186.8343175,18.17876367,0.0982907,1,0.945611781,0.353770548,2.927604086,2.513047105,1.236156852,0.661622664,63.173527,41.797037,284.280873,81.804437,61.554437,1.849981,3.227604,0.573175,7,0,0,0.0,0.0,0,62.40053,05 Sep 12:00,45.143356,180.293574,16169.552984,2952.558891,2978.275401,2440.087107,2657.599962,2893.322456,2249.083865,24285.425022,4417.794141,4489.366952,3682.27887,4009.141247,4345.387181,3343.609798,73.53356,97.724418
4011,1,0,57,3.090662464,144.1688552,19.85124102,0.400411911,1,0.848920218,0.349027209,2.063607808,2.752464381,0.155652669,0.867258029,61.353485,53.209303,276.090685,89.330585,69.080585,19.454216,2.735104,7.112789,1,0,0,0.0,0.0,0,49.830332,16 Aug 10:00,44.573336,135.048101,18570.488767,3095.400014,3490.425433,3184.339704,3425.380139,3212.561391,2167.512222,21467.73096,3585.191034,4025.909298,3671.969458,3950.372334,3711.977096,2528.169632,84.646383,109.459277
4012,1,1,57,4.578391536,326.5639486,17.6371344,0.320577619,0,0.592218464,0.361407487,2.190707698,2.474127543,1.034064999,0.84156245,80.749707,67.955921,363.373681,79.367105,59.117105,17.284392,3.931635,4.396235,1,1,1,1.0,0.0,1,57.818513,29 Jun 12:00,61.690132,178.038324,6058.857671,906.988409,1171.386128,1193.746816,1178.517163,938.178349,669.990635,7867.759865,1167.478767,1532.968623,1561.550431,1538.810001,1214.177723,852.684294,14.842935,19.927241
4013,1,1,14,5.023018507,276.9438567,15.46693746,0.645920064,0,0.603028774,0.255958935,3.156739039,3.575060088,0.89667469,0.331045625,77.690713,25.719171,349.608209,69.601219,49.351219,2.036846,3.156739,0.645238,4,4,4,1.0,0.0,1,125.178992,29 Jun 17:00,27.809777,273.011163,7905.122152,1113.049853,1588.522336,1623.158748,1517.84456,1249.252081,812.46021,27723.463148,3910.67645,5604.981316,5660.380274,5341.231779,4376.954291,2826.661338,31.872266,44.950229
4014,0,0,21,3.70579506,70.87416826,6.474637027,0.499147125,1,0.438793747,0.321642065,3.059791106,2.812269022,0.378386467,0.332423036,23.993678,7.976051,107.971551,29.135867,22.316822,1.303365,3.059791,0.425965,2,0,0,0.0,0.0,0,52.518704,29 Jun 08:00,35.876625,97.331153,3400.363663,515.28611,655.566526,671.60672,664.646373,538.937878,354.733772,10229.026154,1550.091573,1972.085289,2020.337659,1999.399428,1621.241189,1067.115565,30.905069,40.348307
4015,1,1,99,3.651461185,194.3063992,12.08606064,0.774496848,0,0.316595604,0.416062131,3.11712863,3.681159816,0.293805928,0.650211546,44.131781,28.694994,198.593016,54.387273,34.137273,2.799133,3.417129,0.819148,3,3,3,0.0,1.0,1,50.788207,02 Apr 12:00,43.612426,178.619628,8551.199377,1635.586182,1485.52678,1183.396079,1296.469054,1524.742762,1425.15721,17413.288994,3204.49417,3117.756018,2545.948196,2766.541397,3065.094476,2713.074701,91.284001,145.433054
4016,0,1,10,5.00180113,38.45552705,15.30593643,0.97415654,0,0.095303865,0.447618802,3.822978335,3.876959123,0.218988359,0.390437749,76.55725,29.89084,344.507626,68.876714,48.626714,1.954683,3.822978,0.511298,4,4,4,0.0,1.0,1,33.638922,29 Jun 08:00,35.876625,97.331153,8317.925355,1195.356219,1633.197295,1724.653505,1664.634922,1285.679163,814.216132,23786.766952,3397.260836,4675.305028,4972.37494,4794.523283,3661.99114,2284.866591,26.282046,37.226883
4017,0,1,45,4.343917467,197.6385871,16.13314207,0.638074822,1,0.867495468,0.430230995,2.379071611,3.462651955,1.074383256,0.711966007,70.081038,49.895317,315.364669,72.599139,52.349139,15.810479,3.155838,5.009914,1,2,1,1.0,1.0,1,121.245081,02 Apr 13:00,42.195942,198.973648,23505.506305,4383.29205,4000.156608,3283.473753,3550.504822,4064.450377,4223.396353,41518.278733,7563.448488,7243.4843,6029.605151,6490.485765,7157.777458,7034.302402,142.864187,198.127747
4018,0,1,78,4.926155059,120.526094,17.23588339,0.999734888,1,0.236612932,0.268862774,3.261302153,3.164594105,0.715280923,0.344544902,84.906634,29.254148,382.079854,77.561475,57.311475,1.794016,3.261302,0.550092,5,10,5,1.0,1.0,1,16.830416,14 Aug 08:00,28.878238,103.935512,12967.215216,2228.512974,2332.040664,2181.241109,2279.810372,2174.82399,1773.515765,47597.137795,8012.632579,8646.974121,8172.445676,8525.224889,7939.422927,6309.868218,32.867725,44.480956
